#!/usr/bin/env python
""" Provides
Provides ``mapping``
``mapping`` of
of url
url paths
paths to
to request
request handlers.
from bootstrap
bootstrap import
import Bootstrap
from fund
fund import
import InstantPaymentNotificationHandler
from fund
fund import
import ThankYouHandler
from view
view import
import *
mapping =
= [(
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
), (
import msgpack
import gevent.pool
import gevent.queue
import gevent.event
import gevent.local
import gevent.lock
import logging
import sys
import gevent_zmq
gevent_zmq as
as zmq
from .exceptions
.exceptions import
import TimeoutExpired
from .context
.context import
import Context
from .channel_base
.channel_base import
import ChannelBase
if sys.version_info
sys.version_info <
< (2,
(2, 7):
def get_pyzmq_frame_buffer(frame):
return frame.buffer[:]
def get_pyzmq_frame_buffer(frame):
return frame.buffer
logger =
= logging.getLogger(__name__)
class SequentialSender(object):
def __init__(self,
__init__(self, socket):
self._socket =
= socket
def _send(self,
_send(self, parts):
e =
= None
for i
i in
in xrange(len(parts)
xrange(len(parts) -
- 1):
self._socket.send(parts[i], copy=False,
copy=False, flags=zmq.SNDMORE)
except (gevent.GreenletExit,
(gevent.GreenletExit, gevent.Timeout)
gevent.Timeout) as
as e:
if i
i ==
== 0:
self._socket.send(parts[i], copy=False,
copy=False, flags=zmq.SNDMORE)
self._socket.send(parts[-1], copy=False)
except (gevent.GreenletExit,
(gevent.GreenletExit, gevent.Timeout)
gevent.Timeout) as
as e:
self._socket.send(parts[-1], copy=False)
if e:
raise e
def __call__(self,
__call__(self, parts,
parts, timeout=None):
if timeout:
with gevent.Timeout(timeout):
class SequentialReceiver(object):
def __init__(self,
__init__(self, socket):
self._socket =
= socket
def _recv(self):
e =
= None
parts =
= []
while True:
part =
= self._socket.recv(copy=False)
except (gevent.GreenletExit,
(gevent.GreenletExit, gevent.Timeout)
gevent.Timeout) as
as e:
if len(parts)
len(parts) ==
== 0:
part =
= self._socket.recv(copy=False)
if not
not part.more:
if e:
raise e
return parts
def __call__(self,
__call__(self, timeout=None):
if timeout:
with gevent.Timeout(timeout):
return self._recv()
return self._recv()
class Sender(SequentialSender):
def __init__(self,
__init__(self, socket):
self._socket =
= socket
self._send_queue =
= gevent.queue.Channel()
self._send_task =
= gevent.spawn(self._sender)
def close(self):
if self._send_task:
def _sender(self):
for parts
parts in
in self._send_queue:
super(Sender, self)._send(parts)
def __call__(self,
__call__(self, parts,
parts, timeout=None):
self._send_queue.put(parts, timeout=timeout)
except gevent.queue.Full:
raise TimeoutExpired(timeout)
class Receiver(SequentialReceiver):
def __init__(self,
__init__(self, socket):
self._socket =
= socket
self._recv_queue =
= gevent.queue.Channel()
self._recv_task =
= gevent.spawn(self._recver)
def close(self):
if self._recv_task:
self._recv_queue =
= None
def _recver(self):
while True:
parts =
= super(Receiver,
super(Receiver, self)._recv()
def __call__(self,
__call__(self, timeout=None):
return self._recv_queue.get(timeout=timeout)
except gevent.queue.Empty:
raise TimeoutExpired(timeout)
class Event(object):
__slots__ =
= ['_name',
['_name', '_args',
'_args', '_header',
'_header', '_identity']
def __init__(self,
__init__(self, name,
name, args,
args, context,
context, header=None):
self._name =
= name
self._args =
= args
if header
header is
is None:
self._header =
= {'message_id':
{'message_id': context.new_msgid(),
context.new_msgid(), 'v':
'v': 3}
self._header =
= header
self._identity =
= None
def header(self):
return self._header
def name(self):
return self._name
def name(self,
name(self, v):
self._name =
= v
def args(self):
return self._args
def identity(self):
return self._identity
def identity(self,
identity(self, v):
self._identity =
= v
def pack(self):
return msgpack.Packer(use_bin_type=True).pack((self._header,
msgpack.Packer(use_bin_type=True).pack((self._header, self._name,
self._name, self._args))
def unpack(blob):
unpacker =
= msgpack.Unpacker(encoding='utf-8')
unpacked_msg =
= unpacker.unpack()
(header, name,
name, args)
args) =
= unpacked_msg
except Exception
Exception as
as e:
raise Exception('invalid
Exception('invalid msg
msg format
format "{0}":
"{0}": {1}'.format(
unpacked_msg, e))
if not
not isinstance(header,
isinstance(header, dict):
header =
= {}
return Event(name,
Event(name, args,
args, None,
None, header)
def __str__(self,
__str__(self, ignore_args=False):
if ignore_args:
args =
= '[...]'
args =
= self._args
args =
= '<<{0}>>'.format(str(self.unpack(self._args)))
except Exception:
if self._identity:
identity =
= ',
', '.join(repr(x.bytes)
'.join(repr(x.bytes) for
for x
x in
in self._identity)
return '<{0}>
'<{0}> {1}
{1} {2}
{2} {3}'.format(identity,
{3}'.format(identity, self._name,
self._header, args)
return '{0}
'{0} {1}
{1} {2}'.format(self._name,
{2}'.format(self._name, self._header,
self._header, args)
class Events(ChannelBase):
def __init__(self,
__init__(self, zmq_socket_type,
zmq_socket_type, context=None):
self._debug =
= False
self._zmq_socket_type =
= zmq_socket_type
self._context =
= context
context or
or Context.get_instance()
self._socket =
= self._context.socket(zmq_socket_type)
if zmq_socket_type
zmq_socket_type in
in (zmq.PUSH,
(zmq.PUSH, zmq.PUB,
zmq.PUB, zmq.DEALER,
zmq.DEALER, zmq.ROUTER):
self._send =
= Sender(self._socket)
elif zmq_socket_type
zmq_socket_type in
in (zmq.REQ,
(zmq.REQ, zmq.REP):
self._send =
= SequentialSender(self._socket)
self._send =
= None
if zmq_socket_type
zmq_socket_type in
in (zmq.PULL,
(zmq.PULL, zmq.SUB,
zmq.SUB, zmq.DEALER,
zmq.DEALER, zmq.ROUTER):
self._recv =
= Receiver(self._socket)
elif zmq_socket_type
zmq_socket_type in
in (zmq.REQ,
(zmq.REQ, zmq.REP):
self._recv =
= SequentialReceiver(self._socket)
self._recv =
= None
def recv_is_supported(self):
return self._recv
self._recv is
is not
not None
def emit_is_supported(self):
return self._send
self._send is
is not
not None
def __del__(self):
if not
not self._socket.closed:
except (AttributeError,
(AttributeError, TypeError):
def close(self):
except AttributeError:
except AttributeError:
def debug(self):
return self._debug
def debug(self,
debug(self, v):
if v
v !=
!= self._debug:
self._debug =
= v
if self._debug:
logger.debug('debug enabled')
logger.debug('debug disabled')
def _resolve_endpoint(self,
_resolve_endpoint(self, endpoint,
endpoint, resolve=True):
if resolve:
endpoint =
= self._context.hook_resolve_endpoint(endpoint)
if isinstance(endpoint,
isinstance(endpoint, (tuple,
(tuple, list)):
r =
= []
for sub_endpoint
sub_endpoint in
in endpoint:
r.extend(self._resolve_endpoint(sub_endpoint, resolve))
return r
return [endpoint]
def connect(self,
connect(self, endpoint,
endpoint, resolve=True):
r =
= []
for endpoint_
endpoint_ in
in self._resolve_endpoint(endpoint,
self._resolve_endpoint(endpoint, resolve):
logger.debug('connected to
to %s
%s (status=%s)',
(status=%s)', endpoint_,
endpoint_, r[-1])
return r
def bind(self,
bind(self, endpoint,
endpoint, resolve=True):
r =
= []
for endpoint_
endpoint_ in
in self._resolve_endpoint(endpoint,
self._resolve_endpoint(endpoint, resolve):
logger.debug('bound to
to %s
%s (status=%s)',
(status=%s)', endpoint_,
endpoint_, r[-1])
return r
def disconnect(self,
disconnect(self, endpoint,
endpoint, resolve=True):
r =
= []
for endpoint_
endpoint_ in
in self._resolve_endpoint(endpoint,
self._resolve_endpoint(endpoint, resolve):
logging.debug('disconnected from
from %s
%s (status=%s)',
(status=%s)', endpoint_,
endpoint_, r[-1])
return r
def new_event(self,
new_event(self, name,
name, args,
args, xheader=None):
event =
= Event(name,
Event(name, args,
args, context=self._context)
if xheader:
return event
def emit_event(self,
emit_event(self, event,
event, timeout=None):
if self._debug:
logger.debug('--> %s',
%s', event)
if event.identity:
parts =
= list(event.identity
list(event.identity or
or list())
parts.extend(['', event.pack()])
elif self._zmq_socket_type
self._zmq_socket_type in
in (zmq.DEALER,
(zmq.DEALER, zmq.ROUTER):
parts =
= ('',
('', event.pack())
parts =
= (event.pack(),)
self._send(parts, timeout)
def recv(self,
recv(self, timeout=None):
parts =
= self._recv(timeout=timeout)
if len(parts)
len(parts) >
> 2:
identity =
= parts[0:-2]
blob =
= parts[-1]
elif len(parts)
len(parts) ==
== 2:
identity =
= parts[0:-1]
blob =
= parts[-1]
identity =
= None
blob =
= parts[0]
event =
= Event.unpack(get_pyzmq_frame_buffer(blob))
event.identity =
= identity
if self._debug:
logger.debug('<-- %s',
%s', event)
return event
def setsockopt(self,
setsockopt(self, *args):
return self._socket.setsockopt(*args)
def context(self):
return self._context
#!/usr/bin/env python
"""Django's command
command line
line utility."""
import os
import sys
if __name__
__name__ ==
== "__main__":
os.environ.setdefault("DJANGO_SETTINGS_MODULE", "project.settings")
from django.core.management
django.core.management import
import execute_from_command_line
"""Installer for
for hippybot
import os
cwd =
= os.path.dirname(__file__)
__version__ =
= open(os.path.join(cwd,
open(os.path.join(cwd, 'hippybot',
'hippybot', 'version.txt'),
'version.txt'), 'r').read().strip()
from setuptools
setuptools import
import setup,
setup, find_packages
except ImportError:
from ez_setup
ez_setup import
import use_setuptools
from setuptools
setuptools import
import setup,
setup, find_packages
description='Python Hipchat
Hipchat bot',
author='Wes Mason',
package_data={'hippybot': ['version.txt']},
'plugins': open('extras_requirements.txt').readlines(),
'console_scripts': ['hippybot
['hippybot =
= hippybot.bot:main',],
#!/usr/bin/env python
import os
import sys
if __name__
__name__ ==
== "__main__":
os.environ.setdefault("DJANGO_SETTINGS_MODULE", "twobuntu.settings")
from django.core.management
django.core.management import
import execute_from_command_line
